Название фильма,Год выпуска,Продолжительность,Возрастное ограничение
136. Остров проклятых,2010,2h 18m,16+
137. В джазе только девушки,1959,2h 1m,12+
138. Парк юрского периода,1993,2h 7m,6+
139. Возмутительный класс не прошёл экзамен,1975,1h 35m,Пока не сообщили
140. Малыш,1921,1h 8m,Passed
141. Нефть,2007,2h 38m,16+
142. Отец,2020,1h 37m,16+
143. Всё о Еве,1950,2h 18m,Approved
144. Шестое чувство,1999,1h 47m,12+
145. Ран,1985,2h 40m,R
146. Казино,1995,2h 58m,18+
147. Старикам тут не место,2007,2h 2m,16+
148. Нечто,1982,1h 49m,18+
149. Топ Ган. Мэверик,2022,2h 10m,16+
150. Непрощенный,1992,2h 10m,R
151. Лабиринт Фавна,2006,1h 58m,14+
152. Убить Билла. Фильм 1,2003,1h 51m,16+
153. Пленницы,2013,2h 33m,16+
154. Игры разума,2001,2h 15m,12+
155. Сокровища Сьерра Мадре,1948,2h 6m,Approved
156. Ходячий замок,2004,1h 59m,12+
157. В поисках Немо,2003,1h 40m,0+
158. Телохранитель,1961,1h 50m,Not Rated
159. Лучшие из молодых,2003,6h 14m,R
160. Большой побег,1963,2h 52m,Approved
161. Монти Пайтон и священный Грааль,1975,1h 31m,PG
162. Человек-слон,1980,2h 4m,14+
163. Клаус,2019,1h 36m,PG
164. В случае убийства набирайте «М»,1954,1h 45m,16+
165. Унесенные ветром,1939,3h 58m,G
166. Тайна в его глазах,2009,2h 9m,18+
167. Китайский квартал,1974,2h 10m,16+
"168. Карты, деньги, два ствола",1998,1h 47m,18+
169. «V» значит Вендетта,2005,2h 12m,16+
170. Расёмон,1950,1h 28m,Not Rated
171. Головоломка,2015,1h 35m,6+
172. Истребитель демонов: Бесконечная крепость,2025,2h 35m,16+
"173. Поймай меня, если сможешь",2002,2h 21m,12+
"174. Три билборда на границе Эббинга, Миссури",2017,1h 55m,18+
175. На игле,1996,1h 33m,18+
